category,text_cleaned_string
neutral,hanging babyy
neutral,aaploutside box things changed week good jobs bad jobs
positive,essays finished im going hoooooooooome
neutral,u wack put swimsuit regular pants least
positive,wishes happy mother`s day
negative,totally need go doctor armthis still hurtin like hell shall return
negative,founder attacks boss ridiculous comments
neutral,thinking
positive,morning first cuppa hazy sunshine
negative,cant tellpurchase website put us lufthansa flight first leg
positive,going get things soon ive finished coffee xx
negative,sad dad dies hakuna matana means worries
neutral,flame wars weeks episode
positive,im excited rescue start tomorrow today
positive,thank thinking us caring
negative,miss friends much
negative,make flight takeoff time regardless makes late flight wait bag baggage claim
positive,thank yyyyyyyyyoooooooooouuuuu
negative,denverboston flight bostondenver flight planes visible snack crumbs seats upon boarding
neutral,hanging myrtle beach married man
neutral,rather we`re omg it`s nearly monday
neutral,really wanted go surfers today
neutral,one got patent apple anti gravity phone includes predictive programing drops
negative,ugh nothing valley seriously gotta move
positive,safe flight home jade
neutral,yeah meant
positive,talk dedicated service
negative,cancelled flight flight jfk delay us hours youve lost bags worst airline ever
negative,get bs guy door says door closes minutes backs yet know fact people short
neutral,watching kids eating ice cream
neutral,wrist devs embrace future apple watch apps aapl aapl
neutral,studio ft one outlet computers need batteries future
positive,happy b school people piss sometimes
neutral,dangwhen plant thorny bushes ouchno kitty hugs today
neutral,way europe lies
positive,braving standby line theview bright early today hope hear book hope get rd time`s charm
neutral,hey ty tip wifi networking one many talents i`ll get bothered lol
positive,watching dor utv movies great performance
neutral,heyy
negative,im pretty sure ive got shin splits sprinting iah watch plane pull away jet way
negative,ive line waiting minutes
positive,great management twitter account thank
negative,url previous post timer job i`d removed space messed url ^es
negative,honestly college makes want curl ball cry days straight unhappy
negative,unhelpful team sure im bangkok bag chicago u going pay accommodation bag arrives
neutral,making breakfast
negative,mommy coming home vegas tonight going pick later islip plane doesnt get killme want mommy
positive,priority iove
positive,things looking better better think might quite happy
neutral,one lactose pill enough coffeeoopse
positive,sounds good can`t wait
neutral,india changed
negative,edm pleaseeeeeeeee unhappy
positive,infamous ps awesome eyes sore though
negative,big surprise flight delayed hopefully hours like flight thanks sleepless night
neutral,even spf besides don`t need putting chemicals face spf full block
neutral,that`s stuff stolen gone
neutral,new article band called mgmt atbfmsolidsynnet
neutral,see doc bit get knee checked
neutral,well it`s far back sanity least it`s
negative,dont macs emoji keyboard u messed
neutral,midday half time lunch
positive,
neutral,[apple] patents iphone drop protection mechanism changes device tuesday december
negative,awe didn`t know cats got skin cancer
negative,none people talk pe class i`m going bored period
negative,frustrated stupid iphone need blackberry
positive,thanks quick response fingers crossed plane gets
negative,ive hold mins cancelled flight reservation afternoon another way web tells call
positive,suddenly boom strangest things happen
negative,bring mb man unhappy
neutral,iphone plus huge china spring aapl aapl
neutral,fo sho im
negative,delayed flights suck getting worse
neutral,yes boston going providence
positive,apple done impressive things almost year old macbook except poured coffee keyboard
neutral,new post
positive,bit early wanting nice lunch good time
negative,gonna get try catch z`s high school tomorrow really sucks wish didn`t grow
positive,watched jonas funny
positive,original nonyahoo acc deleted got boughtout it`s bad don`t receive yahoospam
neutral,ohh ic ic haha iyaa summer filled one course lasts whole summer
neutral,live new york saturday night finally new one
negative,maintenance issues undetermined amount time mechanics even arrive
positive,love every little thing
negative,sorry anna wintour repeated tweets sooo sorry somethings wondering abt quad tweet
positive,frenchfrycorndog looks delish want welcome back seattle
negative,hold hours book using take flight voucher online
negative,doesnt work already
negative,know feel darian la bam missing terribly won`t see sunday
neutral,young oneslook foundbreakfast
neutral,way take advantage mayweatherpacquiao
positive,conquered greek exegetical paper beast little stuff remaining finish praise jesus
positive,vote actionplayvideoampvideoid yayyy
negative,oh snap broke windshield replacing wiper blades
neutral,boyfriend friends tonight don`t know evening
neutral,smashing show tonight love killers wish gutted shame got cut midsong end
neutral,u follow dm confirmation number need confirmed cancelled flighti call confirm monday refund
neutral,agrees
positive,needs go back scotty using last year
neutral,found `s spinning top instead outtamyleague mp pardon sir promise i`ll buy copy cd i`m saving
negative,still waiting bag never got delivered yesterday cant reach real person help sending dm ref number
neutral,
neutral,aaplapple could face iphone shortages next year
neutral,checked yesterday looked like something change
negative,geocachingcom seems huge delay delivering pocket queries
positive,back interesting emails
neutral,love story
positive,warm glass milk sleeping pills need read bed time story
negative,would brilliant sad doesnt allow mozillas better engine opensource
negative,ill check excited backup singers way backup unhappy
neutral,jay leno`s last show tonight
neutral,today maintenance day flat blogyeahhhh lot little works
positive,macbook love today
positive,lmao haha nice lolz it`s good though wait lol
negative,really carriers staffed youve got triple looped one employees sight okc
negative,left people hot plane ventilation hour half bus jfk
negative,horrible sleep rather bad mood
neutral,still got one year tmo tho might get new bb curve concerned abt apps batt life important
neutral,get rr credit card get points family way
neutral,steve wozniak computer revolution working steve jobs via
positive,better safe sorry glad everything okay
negative,thinks she`s getting sick
neutral,flight
positive,little notice next time caught last half good stuff krudd
positive,london marathon foyle hospice weeks go
negative,baby miss
neutral,goldfish oh well that`s dinner anyways check blog yoooo
positive,make sure well done
neutral,pic donnie one siouxsinner took last night launch word he`s got solo album comin`
negative,clue place stay
positive,sounds fantastic pm im putting together photography portfolio share one idols
positive,hanging roomies adore gentlemen live great people good talk discussing boy issues
neutral,screen record iphones hold screenshot button recording screen
neutral,going hairdressers instead running due rain
neutral,i`m gonna wear new purple converse today
negative,money change flight dont answer phones suggestions make commitment
positive,thank jonas
positive,ahhh shiner bock austin yes thanks twitter relive
positive,music direction favourites
neutral,totally know ticketless travel works
positive,wanna move england ello must go loo head caddyyes gahaha awesome accent
neutral,grandma ellas th would love birthday greeting flight crew stewardess eastern airlines
positive,thanks quick
negative,good know phone customer service still impaired due bad weather week ago jetblueanyone
negative,baby unhappy bett
negative,cherry topflight runway landed time mins still didnt get half luggage
neutral,private fear plan monitor functioning give local leaders death grip
negative,cell phone record needs checked see conversed trust faa handle better
positive,wish could go bea weekend
neutral,tell brad said hi drink sing morgan
neutral,speaking wearables new chargehr amp iphone want eat latkes run place tl_chat
positive,exact flight love jetblue really want fly yall thats little pricey basic mint bos sfo
negative,waiting days far approve new app crmsuite next week
negative,already called options flight reimbursed never unreliable business travelers
positive,happy thursday
negative,could empire dirt i`m ae dad i`m freezing fully shivering every else warm fones allowed ffs
positive,glad hear made hear place used it`s country looking forward arrival
neutral,you`re singing rain
neutral,steve jobs defends apple grave ipod lawsuit aapl aapl
positive,hecks yeah jandy timsamlake rawesome
negative,know i`m already week behind ff try get one done today called work hrs early due problems busy day
positive,loves sound twittering birds
neutral,phne blocks text
negative,boring accounts stuff
negative,keys cracking kind miss old phone already
negative,sober brittney`s becky brit
negative,guess ok people sexually assaulted flights nice customer service
positive,leicester driving test wish luck
negative,call use credit fm prev cxl tix cant rebooked onlinerep called quoted k higher website
positive,oh forget gotta go see montell jordan friday cuz yo man shammond performing ahahhaha good night love
neutral,got bred local pig variety
neutral,omg please jonas brothers add extra date dublin november tried get tickets dey sold
positive,lupo use localization
positive,bonjour le chat
negative,clearly need crack whip
negative,well left six flags didn`t get ride wanted bummer maybe next time
neutral,couldn`t resist zv
negative,birthday tomorrow baby unhappy
positive,omg would sooooo make dis show number one n da ratings
positive,watching part one quotwho jesusquot trilogy discovery channel dvr
positive,getting emilie half hour get nice day talk later hope
negative,e lands without nose gear houston
positive,really nice though snack fridgethat get take stuff like dorm common room genius
negative,like call iv trying since yesterday one answering
positive,lbs still huge achievement though
positive,im pizza tonight hehe
positive,oh goodness yes win cause life revolves around movie hahaha
negative,looks like another sober weekend ahead
positive,stressed hell still surviving
neutral,wow really hope gets better asthma sucks
negative,couldnt respond cuz maxed
negative,would panic little maybe read orbitron gym like dowhen else fails
positive,ugh song head trey offered us quotall accessquot next dance party sounds kinda sleazy
negative,check still saying havent paid ive called back twice hold minutes answered hung
negative,hates ac doesn`t work hot
negative,im get plane think deserve know mechanical issues flight delayed
neutral,governor ponders
positive,know cant wait meet rock star bubba going soooo spoilt
neutral,kidding ill send stuff thanks
neutral,wow
positive,folks executive platinum desk great pros understand displeasure change fees switch sw
positive,yeayyy good
negative,minute delay absurd feel free provide credits
neutral,driving work running late like always time starbucks
negative,lost basket ballbag plane
neutral,needs china love applewatch aapl via wearables wearabletech apple
positive,might go see marble today
neutral,get touch screen macbook
positive,yeh coolbetter youre twitter app phoneyou tell world everything
positive,btw saw youre coming volterra house open need place stay
positive,enjoying view sg flyer
negative,service rep hasnt happened yet im honestly fed sick notice flight got cancelled flighted
negative,please meeeee followed almost years unhappy
neutral,got back
negative,cant [apple] meet demand iphone friday december
positive,fun yet unexpected night yay long random talks mattie tori also dinner nick gang yummy
negative,h everything u
negative,whats delays boston today sister trying go home broinlaw trying come rdu craziness
negative,net died yeah i`m sad
neutral,please help save daughters life details go
neutral,yeah still waitin`
positive,depends version thought one know doesnt go like
positive,today first real mothers day son actually wasn`t born yet last year can`t wait hug get home
neutral,protesters stage diein protests store nyc anger misplaced retweet agree
positive,you`re fine looking set neighbours must say lots compliments showered upon header graphic
positive,like time also paxman dont get started
positive,thx already got pic folks back office laugh
negative,must brought bad weather states
negative,say call travel agency say cant refund usairways didnt accept
neutral,yeah dad calls taltal taken aol back added k last name coincidence tal talk
negative,every new iphone update spellcheck suppress greatness morestop trying tell type
negative,help chicago get gate freezing runway seems like crappy thing pm
positive,gardening get lots fresh air love sundays
positive,breakfast champions
neutral,lawsuit could collapse new evidence comes fore
positive,it`s click without subscription needed vote tweet today best list
positive,feeling today going amazing
negative,saw pony used live front house he`s developed cushing`s disease tho
neutral,yeahwe say shite alot say shiiiterhyming light
positive,i`m really excited i`m queen bee power mom list feel really really honored nielsenpowermoms
negative,fly back charlotte different airport guys flexible like airlines
negative,good think that`s fault though didn`t use buttermilk recipe back flour
positive,moving today i`m excited
positive,great study time followed delicious japanese meal arty trying get back study mood
positive,you`re hope you`re still resting don`t want stressed
negative,miss walks home together
neutral,early morning golf sunny day
positive,check guys rock one jkbc
negative,really wants go see script ny august one go
neutral,ram madhav tells
positive,true remember old degrassi back day think adults young heart relate point well
neutral,beard addressed week`s lols
negative,i`ma say smudge start calling people given malicious action pulled night
positive,TRUE
negative,owww back pain hm walmart could get cupcakes
positive,wow shabu himym really feels comforting
positive,thanks follow i`m loving energy site spaz can`t help drawn
positive,twitter francophones maybe would tweet en franais
positive,would prefer similar picture full e tails great shot
negative,refund
positive,awesome
negative,still stucked airport aadelay aa
neutral,nope wasn`t home went soon
neutral,floor test saturday
positive,wellhuman thats
negative,sure miss chick thomay rip
negative,dont pilot clt ord least another hour earth would board plane makes sense
neutral,please everyone vote become next maxim coors caddy girlonly takes minutes
negative,dont stand alone bought tix based usair confirmed flight good confirmation change anyway
negative,attacked cola sticky
neutral,supporting activity violentagainst law ram madhav
positive,loving jumper
negative,crew gate
positive,don`t worry bizarre find
neutral,brings back everyone button access public timeline _timeline
neutral,studio ft one outlet computers need batteries future
negative,flight wasnt pm already delayed
neutral,attaches assets worth crores new
neutral,take us keep tryingforty thousand feet keep flying
positive,u miss hope well sending big hugs
positive,nice recolouring page nobody buying antitwittering words love
positive,happy star wars day
negative,great flight delayed three hours friend wait airport hours birthday
neutral,negghead mix air
positive,perfect practice makes perfect
neutral,made homenight twitties
negative,jet blue cancelled flighted ticket amp never reissued
neutral,wow think people actually really live jungle dont get go back hotel
neutral,hav pork scratching
neutral,mozart requiem tonight
positive,would welcome
positive,flights next two weeks lets make good memories
positive,tygerwaterfront enjoying cup coffee
neutral,mexican wrestler year capes probably haven`t build though
positive,awesome photos thanks sharing
neutral,awake want go work
neutral,today congress vp address rallies gonda
neutral,oh week bad one everyone love pretty face youre going fantastic concert tonight
positive,well sharmila went hogwarts shed house anyways
positive,seems nailing building success amp brand appleid nomorepaywords
neutral,take compliment mistaken several times member staff flight time remove scarf
neutral,chinese lunch buffet add soda noticing health inspection score walk bag priceless
positive,habitat twitteractive neat
negative,_flores aww don`t guess that`s doesnt blackberrymessenger
neutral,ive done somethign like updates today
negative,want conversation use emailmailing lists i`m convinced ` chars less` replies conversation
positive,cool happy surrounds full recovery
positive,eating ice cream cake bomb
positive,wahoo thanks mention others
neutral,thank
negative,getting ready leave girl scout mettingdon`t feel like
negative,fckeditor giving problems posts fine edits plain text help
positive,im twitter girl lt
negative,super sad bart etc holding
negative,last times checked bags severally damaged one answers baggage call line status chairmanlove
positive,thank
neutral,ready go milan see ya`ll evening
negative,miss daddy mommy
neutral,that`s okay didn`t want watch shelby anyway
neutral,apple adds new flyover locations maps siri movie showtimes countries [ios blog] aapl
negative,official williamsburg longer hip anymore
negative,whole family special olympic athlete cant even call
neutral,checked worked sorry
positive,played mythic brawl order get good screenshot instead got perfection
neutral,ipod touch case ipodtouchthgen
neutral,forgot put sunblock getting car
positive,hey hey happy mother`s day
negative,lax almost mess reason express bag drop slower full service line
positive,go
neutral,wish one san francisco
negative,i`m little sad school ended today i`m moving i`m going miss new friends year got hair cut
neutral,latest lacked economic philosophy
neutral,gonna read story bout adam lambert online bed nighty night
negative,ouchwaited long get eyebrows waxed
positive,came back nice bike ride family refreshed thanks shower
positive,ok submitted thanks opportunity give feedback
neutral,need check information regarding hotels shuttles routing flights delayed flights
negative,u blackmailed unhappy
negative,studio ft one outlet computers need batteries future
neutral,needed semi best friend go shoe shopping tonight alas nowhere found
positive,wants boo btw love fhnixon`s posts hilarious
negative,would done legless stillborn spaniels idea sad yrs later strawberries dead puppies
positive,great time yesterday thanks everyone turning laugh x
neutral,long take customer feedback respond complaint
neutral,scheduled sfo dal flight today changed th due weather looks like flight still
positive,truly enlightening
neutral,beats eps views takes southwestair va luv investors business daily
positive,wow twittering whole time miley asleep weird hehe
neutral,everything spinning
positive,ill wc minutes rofl
negative,leaving work going crystal search license picking bia heading vegas ugh i`m tired already
negative,flight keep getting delayed late flightr late flightr
negative,yea baby im gonna miss much
negative,yo ya coming charger case hurr
negative,passengers waited inside flight runway returned back gate count valid journey
positive,oh emm gee quebec days excited
positive,word looking scum
positive,good morning tweeps busy working way
positive,urghh i`m gonna project don`t wanna waste valuable weekend time
negative,kudos bag handler dtw gate pm ran keep bags hitting ground degree temp
positive,made sister cry hahah bless hope
negative,absorbed im going get laugh gets votes unhappy
negative,lucky slave wish unhappy
neutral,number use outside us thx
positive,birthday great song man something different that`s ppl want
neutral,conversating
neutral,type words per minute new nintype keyboard ios aapl
positive,greatest friends entire world
positive,made think cool guy smw
neutral,omg it`s july`s last day muchachomalo
positive,yes unfortunately day yesterday got another friday day week
positive,finally leavin tha studiomade really really good music pleased wit tha turnout
negative,lol went buy new laptop feb already knew lol looked anyway walked away sadfaced
negative,buy new washer bought dryer dryer labeled electric gas grrr load tomorrow return
neutral,testing ymtumbkr iphone
positive,kiraaampi gunna go see btb uhh like follow
positive,finished minish cap it`s great game i`ll miss ezlo link
negative,hypocrisy rt im sorry able offer full refund exchange rate hoping ^kp
negative,disappointed customer service right flight one cancelled flightled airport amp im losing days trip
negative,although stranded chicago ohare another hours chance crackerjack service team could provide meal
positive,wishes pool
neutral,you`re watching thisi love almost died nowshe means nothing
neutral,can`t wait see pics
neutral,can`t get sound work dvd going watch mary poppins
positive,ss aus fshionwk zimmermannillionaredhini gail sorrondaromance bornlisa hocassette societyloved tutu balmain ispired
negative,left apt hrs ago go boston sjc im still nyc please bring back nonstop flight jetblueblues
positive,nah cool well spring rolls late lunch ughh hate stupid english thing
positive,welcome nice tweday
negative,delta flight lax compensated rental car
negative,bsg might made cry
positive,hey thanks top new followers week much appreciated happy want
neutral,guwahati
negative,bad third party keyboards ios buggy hell therefore completely unusable undeserved
neutral,sitting wondering wishing bunch stuff never
neutral,drugs bad
negative,phone agents cant see flights see online cant change tickets even paying frustrating jetblue
negative,watching gh feel bad carly omg
positive,yayjon activist wooho
positive,android version ill change
positive,highlight day ha ha
neutral,fest sans pak voice
negative,hey link didn`t work
neutral,iphones future could save drop
negative,pug woke incredible sleep
neutral,apple planning spend million auditorium aapl wwdc
positive,houstonbogota boarding safety first seems mechanics fixed problem faster good energy fly homefamily
negative,dont know aware premier access lines closed terminal feel love
neutral,im downloading manually oooiifullmp movie seems way see fully
positive,pixies number gives energy rush playing festival close june work won`t go
positive,righto time work productive day everyone dont stay long
neutral,also epaper
neutral,psyching next daysoh
positive,sitting mels house finished eating mcdicks laughing dumb stuff said tonight ready bed think
negative,back track transcription process still can`t stop lappy overheating though
negative,would sicken number ways able tweet
positive,gotta get ready leavealec going hunting outside volterra fun talk everyone later
positive,oh mondays also mean new american dad glad watched show funny makes mondays even better
negative,sun attempting increase efforts alas cannot said see bath couch book immediate future
neutral,doctors split bengal bill
negative,would like remind people kansai scene whatever current issue like nothing
neutral,back weekend get away
neutral,waiting princes protection program online english version long
neutral,protesters stage diein protests store nyc anger misplaced retweet agree
neutral,bash
neutral,took delivery na new boeing h yesterday dfw dal airlines
positive,happy mother`s day mothers
neutral,american pie forever i`m watching right they`re running naked around streets would would [ ]
negative,someone messed unhappy available
negative,first available flight tuesday flight today booked flt available buy online
positive,plane thanks maybe dont let many people check teeming morons
positive,great thank
neutral,boss she`s moving nyc
neutral,way cp got work
neutral,today
neutral,soon sending son home saturday
positive,driving home trade cars hopefully makes
positive,haha dont worry twitter friend knows first
negative,[somewhere within temptation] returned mysefl keep working hard till june
negative,feel like dream got crushed
positive,watching cartoons
positive,ok thanks great night aa team
negative,poor showing today assistance passengers mis connected due maintenance waiting baggage
positive,happymothersday moms
neutral,hate fallout keeps making jump i`m also low health money ammo food don`t worry i`ll get
negative,chillin bored drinking margarita txt
negative,yes waited line almost hour passengers left wanting wait past
positive,haha squidward decided look gary
negative,misses nanny
negative,contact others flight cant get website work none info valid
negative,mshs gotta go worktoo tired
neutral,hi babe
neutral,getting ready long weekend workfriday saturday sunday
positive,bed church morning happy mothers day
neutral,ya would gained kgs working today
negative,really want milkshake money
positive,hey heidi love music keep thing much love support ya bwoi salman reply
positive,best looking forward upcoming aus shows
positive,skateboarder snowboarder breakdancer surfer nasa person ill famous
positive,hi hope everybody safe fun weekend
negative,sick tired rain
negative,triste
neutral,hang drink hot coco
neutral,earlier
negative,hell kil
positive,ashlie thank made feel little better
neutral,electile dysfunction among losers
negative,sorry like general way sorry incompetenceunderstaffing compounding weather issues
neutral,first logo designed cofounder ronald wayne drawing isaac newton reading book apple tree
negative,yep sent bag philadelphia instead miamii caught itthen told flight changed tomorrow wrong fail
positive,friendly reminder enjoy movie television show without trash another happy
positive,_cullen _cullen family girls love u guys smiles
neutral,please tell dfw weather advisory rdu entire state nc shut ice amp snow
positive,brilliant nanoblogging
positive,_ glad break twitter virginity two
positive,sure extend love kozhi
neutral,even programs use
neutral,made want taco bell sara oh well i`m going go change jammies
negative,customer service please call
negative,im calling cancelled flight flight already rebooked another card need cancelled flight previous reservation
neutral,chicago landed xoxo
neutral,jetblue reading nytimes fleets fleek
negative,never eat broadway pizza feelin ill
neutral,sit home every friday night waiting invitation join dev team looks phone theyll call one day
negative,say dumb things beat around bush youre flight cancelled flightled prepared compassion
neutral,got wheres sun
neutral,sent call back message x
neutral,bogota wallet fun
positive,_dazzles well tonight would good time watch
neutral,watching twilight eating potato salad
neutral,studio ft one outlet computers need batteries future
negative,really missing hockey already night dtn naperville can`t wait day tomorrow work sunday
negative,alex slammed head edge table min ago she`s going nice blue bruise
neutral,whats point email stating didnt get bumped st class know im first class booked regular ticket
neutral,seeing shane dawson videos
positive,thanks answering questions
neutral,barzegar charges tourists euros [] night stay tent village runs
neutral,kids left kindle fire hd onboard ua ordsfo today row abcdef whole row amongst us help
negative,literally worst
negative,heart isnt cold im still missing
positive,good morning tweepsland makin` great monday huge shout followers muah muah appreciate
negative,ohoh missed ur tweets im gonna stay awake night see announcement time difference
positive,think might like twiterfon better tweetie recent upgrades twiterfon great none tweetie
negative,booked hotel night find room midnight say bags plane cant
neutral,ive totally got job tell
neutral,says yall sold amp coworkers would need get first available
positive,im still bedroom scared going happy
positive,veronice jughead happy
negative,_ don`t pop well feel lousier playing
positive,y_spitta caught traffic around howlin wolf mins wondering wth going onmusta nice
neutral,sad wish something big kids may god bless kids always
neutral,yet hope check week
positive,nice one mean youll put avatar
positive,yayayayay get work friday actually go grandparents
negative,sabido nada de ti making bit sad must say
negative,im flight tomorrow got cancelled flightled need find alternative get dallas please help
neutral,yeah im looking specific dates keep checking daily fare drop
positive,fabulous post wordahead overall loved blog
positive,love johnny deep looks public enemies l i`ll catch film show hk
negative,miss alot im gonna talk hope
negative,dont like
negative,flight rolling delay hour minutes
neutral,come bell ring want go outside
neutral,dont want clog alreadycrowded line special meal request someone dm sort vegetarianproblems
positive,i`d love
neutral,would love learn trapeze i`ve wanted since kid sadly there`s place live teaches
negative,want unhappy looks yummy hehehe
negative,awful xxxx
positive,talking customer service makes appreciate even could learn much
positive,love smell procrastination morning oder
negative,online clearly states says call res already explained
negative,according costumer support website holding money hostage cant anything
positive,big shoutout crews bosgtjfk amp jfkgtroc amp gate crews c bos amp jfk long day delays made better
neutral,oh ok guess next time
positive,lol im sorry im seeing lauren oh god ahhhh
negative,worried bry bronchitis sinus infection poor baby
neutral,promotion fly roundtrip flights atl get companion pass year travel
neutral,supposed change near future
neutral,free hugs super fluffy robe
positive,happy mothers day
positive,rebooting room
neutral,getaway deals may oneway lots cool cities cheapflights farecompare
negative,shes still waiting callbackthe lack follow whats concerning smh
neutral,siripassbook integration hiring maps engineer work improved community crowdsourcing
negative,yeah planning actually got kinokuniya discount card i`m going splurge worried overwhelmed
negative,oh mennot mood i`ll go home tomorrowwanna w familyits birthday
positive,wow you`re car`s awesome fun alex
positive,ugh sure patience remaining intelligence point day week refactor rewrite package code
negative,charter pissing rest internet access blog except fixed soon say see
neutral,i`ve always said pd wanted kitchen like yoursi wouldn`t know
positive,done book signings manchester nice people enjoy week
neutral,ill call home phone home phone dinner tho coz im almost ready eat ok
negative,told people matters leave alone
neutral,homework
negative,nasty cough cant sick huge weekend ahead
negative,feel sorry adam cook strong david family
positive,back train rubbish days though
negative,tks reply psp employees blamed late flight departure potus main reasons dvr flt late flight amp insufficient ground crew handle
positive,look forward
negative,aww sucks
neutral,flight schedules quintana roo mexico reflect newly adopted time zone change est
positive,nice one
neutral,sunny walk round lake morning met mother goose father goose five baby goslings
negative,flight cancelled flightled new flight hours late flightr sleep airport tonight cant even give boarding group seat thx
negative,haha crying
positive,cool stuff found posts ipad air change commercial focus new ways things
negative,think it`s less tribute parody
negative,miss daddy
negative,already sent feedback reps told priority im speechless system
positive,fun fun fun stress normal thats meet
positive,well im working isn`t quite ready post publicly still beta testing cool new script coded
negative,i`m chaseton`s either please don`t die heart really sad
neutral,shower day
positive,_lee lol bugg school thats awsome
neutral,don`t want quit job
neutral,get twilightguy show
negative,using temporary mouse since trackball breaking feel rsi crawling wrist already
negative,switched fly united delta past two trips disappointed ua delayed hours
neutral,see guess must lots hawks fans texas twitter
negative,got call rdu baggage except doesnt help bc cant get im flying back home
positive,twiiterr yaay dont know use though
negative,web app wont let upgrade seats call center wait time minutes plus want get legroom pita
negative,u seen messages past hour
negative,never lets every single flight gets delayed
positive,fly jet blue
positive,days go happy
neutral,think hn maybe cold
neutral,crore rs
positive,thats great
positive,time today phl nice work thereisafirstforeverything
neutral,looking person different pov never thought i`d see day arrive
positive,watching hostage also got idea animation i`m making hope ready post link fifth june
positive,ah national express train free wifi quiet zone
positive,would nice
positive,thanks recent follow happy connect happy great thursday want free
neutral,sent
neutral,yep go christmas treats
positive,thnks followin
positive,thats brill see pic disappear strange
negative,i`m sure lots studio equipment collected analog stuff can`t bought anymore seriously condolences
neutral,sanjiv goenka tells
neutral,retarded thing someone could th know like retarded
neutral,aw
neutral,wondering sanity bit dear
positive,don`t worry happy ryan
negative,stuck heat blasting try thaw water lines kinda disappointed first flight rr member
positive,np mean problem marriott world worked iinshould never problemalways pleasure hahah mp
negative,portugal spain sore throat scary
negative,can`t believe wait till october see americans get see weekend
negative,waking lazy worry
neutral,i`m hungry wife bodyshop party bringing takeaway home much longer party go
negative,grrrr it`s back mean headache bright sideit`s one side \\\\\
negative,hey dm working ua
positive,mere quote thats
positive,cool qik stuff newsroom sometime lol
positive,layin downwish hb vice versa days go baby hope u feel better night fellow tweeters
positive,i`m glad you`ve fun babe
negative,im hungry nothing eat
negative,bad mood annoying sunny
negative,feels guility sorry `bout
negative,_xo hey chick u alryt u dads tmoro sud sumin aen like last week neva dun oot week lol missed ha bye hun
neutral,thats concerned
negative,che critiques unhappy
negative,meeting lincoln square bummer free parking
positive,listen spotify
neutral,justice department cites th century federal law get unlock iphones
neutral,check bags final destination even though bought separate tickets iad phl phl israel
positive,aw thank suppose it`s good thing since means tweeting
negative,hours hours four hours like joke
neutral,bunny longing hoodie left car brrr
negative,left gate minutes early thoughts doesnt count sit tarmac half hour comeonpeople
neutral,aaplbloomberg law billion antitrust suit apple audio
positive,im uncle
neutral,would appear note selfchange perfume nowhmm get tarot cards
negative,i`ve got dentist`s appointment soon drill feels like i`ve got brain blender looking forward
negative,greg pritchard robbed place final bgt cry baby face got instead
neutral,waiting mom get home
positive,yeah haha never one expensive much fun destinationdragons
negative,good morning nightmare im still wondering maddie hates beginning day unhappy
neutral,rounding bases fast relays fast game
negative,that`s sin
positive,loves jeff lynne enjoy sitar work kinda weird s`pose
positive,love background might copy
neutral,nothing going guess
positive,holy fuckinf shit
neutral,watching office also comedy gold
neutral,im cust svc line charlotte nc agents better game
positive,dream brought kings island pretty sweet bummed they`re poughkeepsie hours
neutral,hey thankyou how`s u x
negative,response doesnt correct fact pilot failed keep passengers updated
neutral,time turn phone get full nights sleep
negative,_caine saw made sad
negative,im airport right people didnt know react help situation frustrated
neutral,omg can`t believe jay leno going air
neutral,traffic backed inbound lincoln tunnel
negative,doesnt want anymore
negative,give free baggage mess
positive,got home show opening fantastic thanks everyone came
positive,greek season two love show
neutral,trying find something tonight
neutral,grooming season dawns madhya pradesh
negative,apologize president employees blamed heard repeated times
positive,dreifing wiff se cabrio
negative,need accommodating loyal customers happy
positive,thx robban gamingcommatch
neutral,hungraaaaaaaaay i`ll eat don`t go away twitter lunch
negative,load us flying sardine knew pilots hours late flight incompetent beyond belief
negative,wow love headache medicine house
negative,working home today back killing doctor physio later today
positive,well mother grandma bit kidding mode
negative,god im suffering greatly hair sitting blazing sunshine v v bad sunburn
positive,pleasure anytime
positive,sounds good taylor kellie tour together pure genious
positive,sorry ended us air flight thank though getting back
neutral,lol thats p less ive got towards cruise
neutral,summer really ending it`s raining
negative,get home
neutral,seriously want pug buy one
neutral,believe black personality explain feel boyfrann mines gots sprung
positive,dittoyes also stay nannas like every night
negative,ugh plane delayed due weather stuck another hour kill
negative,josie`s surgery she`s officially unable procreate she`s way poor medicated baby
negative,honeymoon delayed day gas cap screwed flight frustrating
positive,absolutly love kill bill vol think lucy liu sooo gorgeous
neutral,gots pandora bracelet birthdaaaay
neutral,
neutral,grates children collide tonight
neutral,apple kantars data points huge december quarter aapl
neutral,ideas gallore rock opera ftw yes tweets kayleigh writing rock opera info email us coatandkaycom
neutral,want like horatio caine
negative,_joyner can`t even tell done professionally `
neutral,help add aadvantage number known traveler number reservation
neutral,think ordered days maybe got something backorder
positive,thanks made safely
positive,read put question ya course
neutral,finally get iphone iphone plus apple within week via aapl
neutral,i`m sure play i`m workin til midnight
neutral,don`t know
negative,stomach effing hurts sadly there`ll gym class afternoon
negative,sure continue tweet conf call worrying cat bee
negative,knew going leave hours waiting hurry
negative,say jetblue officially lost customer waste points yet flight
positive,sweet
positive,salute chapel hill north carolina sy jgj
positive,thanks jacqueline clt cleaning mess awesome service
neutral,thought made transparent
negative,yeah realise organiser dun let performing artistdjs drink stage tight malaysian laws n rules
negative,thats one original arrival time said done may pm central impressed
positive,great im ready go home
negative,gosh it`s anoher cloudy day wish would go away rain
